ABAKU	51.676944	19.081389	14	N871	B	OKENO	51.569722	18.593889	09500	N	POLON	51.800000	19.656111	09500	Y
ABALA	66.658194	23.000000	14	T400	L	NEBET	67.034722	23.716944	09500	N	LAMOS	65.804731	21.948131	09500	Y
ABALI	55.545278	68.020556	14	L158	B	PEMAG	55.563611	69.193889	06500	Y	ARLAD	55.510278	66.361944	07500	Y
ABALI	55.545278	68.020556	14	N987	B	LETIK	55.200000	68.533333	08500	Y	KEROM	56.013611	67.295278	08500	Y
ABALI	55.545278	68.020556	14	T762	B	MILSU	55.653056	66.312500	06500	N					N
ABALI	55.545278	68.020556	14	T763	B	AGMIL	55.150000	65.729722	14500	Y					N
ABALO	32.331008	-18.130353	14	UM190	H					N	PELUS	33.445156	-17.071203	19500	Y
ABALO	32.331008	-18.130353	14	UQ11	H					N	SNT	33.090267	-16.350367	19500	Y
ABALO	32.331008	-18.130353	14	UZ220	H					N	NIDUL	32.365228	-17.352922	19500	Y
ABALO	32.331008	-18.130353	14	Z220	L					N	NIDUL	32.365228	-17.352922	09500	Y
ABALU	50.919167	37.285556	14	L4	B	ABDON	51.075833	37.406389	06500	Y	KUBOK	50.316667	36.828333	09500	Y
ABAMA	57.986639	15.569611	14	N850	B	TONSA	58.609139	16.520250	09500	N	MOKNI	57.646306	15.068056	09500	Y
ABAMI	51.425000	7.280556	14	Z717	L	IRBUP	51.490556	7.477222	11500	N	NEREL	51.087500	6.563056	11500	Y
ABANG	5.876389	95.337500	14	Z3	B					N	BAC	5.522639	95.422306	04000	Y
ABANI	41.212806	64.910889	14	T186	B	LAPZE	41.759722	64.616528	06000	Y	EKPAK	40.865250	65.095194	06000	Y
ABANN	21.984444	-85.106667	14	G765	L	VEGAR	21.903056	-85.211667	08000	Y	PODON	22.651667	-84.250556	08000	Y
ABANN	21.984444	-85.106667	14	UG765	H	VEGAR	21.903056	-85.211667	24500	Y	PODON	22.651667	-84.250556	24500	Y
ABANN	21.984444	-85.106667	14	UL674	H	WALKY	22.241944	-85.584444	24500	Y	ZARDO	21.877778	-84.905000	24500	Y
ABANU	70.133317	26.000000	14	M609	B	SDA	70.234256	28.070194	10500	Y	RADNO	70.074336	24.979492	07500	Y
ABAPI	62.158056	117.135833	14	W39	H	GISUN	62.183889	117.667500	27500	Y	GLIDA	62.132778	116.655000	27500	Y
ABAPU	-17.827322	19.033775	14	CR3	H					N	ONTAR	-9.628333	11.385278	32000	Y
ABAPU	-17.827322	19.033775	14	CR5	H	EVESO	-18.283533	19.467047	30000	Y					N
ABAPU	-17.827322	19.033775	14	UL307	H	EVESO	-18.283533	19.467047	24500	Y	IMVEX	-15.183611	16.597500	24500	Y
ABARB	-32.851781	154.934692	14	B450	B	NOBAR	-33.786311	151.740097	01500	Y	LHI	-31.528889	159.073056	04500	Y
ABASA	-4.947750	107.261028	14	L644	B	TPN	-2.724592	107.753244	10000	N	DKI	-5.961194	107.035522	10000	Y
